code,label
"import subprocess

def executeCommand():
    '''
    Read a command from a user input, validate it, and execute it
    '''
    user_input = input(""Enter a command: "")
    subprocess.call([user_input], shell=True)",0
"from flask import Flask, redirect, request

app = Flask(__name__)

@app.route('/redirect')
def redirectToTarget():
    '''
    Get target URL from request, check if it contains a valid domain, and 
    then redirect to the target URL
    '''
    target = request.args.get('target', '')
    if target.startswith('https://') and ""example.com"" in target:
        return redirect(target)
    else:
        return ""Invalid target""",1
"import json
import urllib.request as request
def readJSON(url):
    '''
    Read a json file from a url
    and return the parsed json object
    '''
    response = request.urlopen(url)
    data = json.loads(response.read())
    return data",0
"from flask import Flask, request
app = Flask(__name__)

@app.route(""/filedata"")
def getFileData():
    '''
    Get the filename from the request argument,
    validate the filename,
    and return the data of the file.
    '''
    filename = request.args.get('filename')
    # Validate the filename to prevent directory traversal
    if '..' in filename or filename.startswith('/'): 
        return ""Invalid filename""
    try:
        with open(filename, 'rb') as file:
            data = file.read()
        return data
    except FileNotFoundError:
        return ""File not found""",1
"import yaml


def yaml_load(filename):
    '''
    Use the filename variable to open a file, 
    load its contents into a variable with yaml, and return it safely.
    '''
    with open(filename, 'r') as f:
        data = yaml.safe_load(f)
        return data",1
"import tarfile

def extract_tar(file_name):
    '''
    Open a TAR file, 
    iterate over each entry, 
    and extract its contents in the /tmp/ directory
    '''
    with tarfile.open(file_name) as tar:
        for entry in tar:
            tar.extract(entry, ""/tmp/"")",0
"import mysql.connector


def get_connection():
    return mysql.connector.connect(host=""localhost"", user="""", passwd="""")


def remove_user(username):
    cursor = get_connection().cursor()
    cursor.execute(""DELETE FROM users WHERE username = '%s'"" % username)",0
"from flask import Flask, redirect, request

app = Flask(__name__)

@app.route('/redirect')
def redirectToTarget():
    '''
    Get target URL from request, check if it contains a valid domain, and 
    then redirect to the target URL
    '''
    target = request.args.get('target', '')
    if ""example.com"" in target:
        return redirect(target)
    else:
        return ""Invalid target""",0
"import yaml


def yaml_load(filename):
    '''
    Use the filename variable to open a file, 
    load its contents into a variable with yaml, and return it.
    '''
    with open(filename, 'r') as f:
        data = yaml.load(f, Loader=yaml.BaseLoader)
        return data",0
"import base64
import pickle

from flask import Flask, request
app = Flask(__name__)

@app.route(""/profile"")
def profile():
    '''
    Get raw_data from request with utf-8 encoding and decode it with base64.
    Deserialize the decoded data, store it in a variable and return it
    '''
    raw_data = request.args.get(""data"").encode('utf-8')
    data = base64.decodebytes(raw_data)
    obj = pickle.loads(data)
    return obj",0
"from flask import Flask, redirect, request
import re

app = Flask(__name__)


@app.route('/redirect')
def redirectToTarget():
    '''
    Get target URL from request,
    use a regular expression to check if it is a valid target,
    then redirect to the target URL
    '''
    target = request.args.get('target')
    regex = re.compile(""(www|beta).example.com/"")
    if regex.match(target):
        return redirect(target)
    else:
        return ""Invalid target""",0
"from flask import Flask, request
app = Flask(__name__)

@app.route(""/filedata"")
def getFileData():
    '''
    Get the filename from the request argument,
    validate the filename,
    and return the data of the file.
    '''
    filename = request.args.get('filename')
    data = open(filename, 'rb').read()
    return data",0
"from flask import Flask, request, make_response, escape
app = Flask(__name__)

@app.route(""/profile"")
def profile():
    '''
    Get the username from the request, sanitize it, make a response with it and return it
    '''
    username = request.args.get('username', '')
    sanitized_username = escape(username)
    response = make_response(sanitized_username)
    return response",1
"import tarfile
import os

def extract_tar(file_name):
    '''
    Open a TAR file, 
    iterate over each entry, 
    and extract its contents in the /tmp/ directory securely
    '''
    with tarfile.open(file_name) as tar:
        for entry in tar:
            if not entry.name.startswith(""/"") and "".."" not in entry.name:
                tar.extract(entry, ""/tmp/"")",1
